"Countries","Points"
"South Korea",18
"United Arab Emirates",6
"Iraq",18
"Iran",24
"Syria",6
"Lebanon",0
"Australia",20
"Saudi Arabia",12
"China PR",12
"Japan",20
"Oman",6
"Vietnam",0
