"Countries","Points"
"South Korea",16
"United Arab Emirates",10
"Iraq",17
"Iran",24
"Syria",9
"Lebanon",3
"Australia",22
"Saudi Arabia",14
"China PR",11
"Japan",22
"Oman",10
"Vietnam",4
