Date,Day,K.O. CET,Group,Home,Away
8/10/2021,Friday,20:45,Group E,Peru,Iraq
9/10/2021,Saturday,21:45,Group E,Iraq,Peru
10/10/2021,Sunday,22:45,Group E,Hondruas,New Zealand
11/10/2021,Monday,23:45,Group E,New Zealand,Hondruas
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Peru,21,,Iraq,72,
Hondruas,63,,New Zealand,121,
