Date,Day,K.O. CET,Group,Home,Away
11/11/2021,Thursday,18:00,Group A,Azerbaijan,Luxembourg
11/11/2021,Thursday,18:00,Group B,Georgia,Sweden
11/11/2021,Thursday,18:00,Group H,Russia,Cyprus
11/11/2021,Thursday,18:00,Group J,Armenia,North Macedonia
11/11/2021,Thursday,20:45,Group A,Republic of Ireland,Portugal
11/11/2021,Thursday,20:45,Group B,Greece,Spain
11/11/2021,Thursday,20:45,Group H,Malta,Croatia
11/11/2021,Thursday,20:45,Group H,Slovakia,Slovenia
11/11/2021,Thursday,20:45,Group J,Germany,Liechtenstein
11/11/2021,Thursday,20:45,Group J,Romania,Iceland
12/11/2021,Friday,20:45,Group C,Italy,Switzerland
12/11/2021,Friday,20:45,Group C,Northern Ireland,Lithuania
12/11/2021,Friday,20:45,Group F,Austria,Israel
12/11/2021,Friday,20:45,Group F,Denmark,Faroe Islands
12/11/2021,Friday,20:45,Group F,Moldova,Scotland
12/11/2021,Friday,20:45,Group I,Andorra,Poland
12/11/2021,Friday,20:45,Group I,England,Albania
12/11/2021,Friday,20:45,Group I,Hungary,San Marino
13/11/2021,Saturday,15:00,Group D,Bosnia-Herzegovina,Finland
13/11/2021,Saturday,18:00,Group G,Norway,Latvia
13/11/2021,Saturday,18:00,Group G,Turkey,Gibraltar
13/11/2021,Saturday,20:45,Group D,France,Kazakhstan
13/11/2021,Saturday,20:45,Group E,Belgium,Estonia
13/11/2021,Saturday,20:45,Group E,Wales,Belarus
13/11/2021,Saturday,20:45,Group G,Montenegro,Netherlands
